author	comment
@janevan8	I have some questions if i take EMT course in University of Colorado can i use that as my job everywhere like in Canada, USA, and UK?
@lujainfakeeh1644	Will I get a paid certificate if I completed only one course out of a whole specialization?
@sittnaamir1120	thank you for explaining... \ni just wanna know how can i get free certificate from coursera when I'm done with certain courses. I'm from Sudan and where I'm from visa card and master card still not working lol.
@sittnaamir1120	 @RichardWalls  alright I will thank you very much i appreciate your reply 
@parifairy1997	I’m currently a new sport science student,and I started taking courses about sport science and science of exercise,do you think this degree would help me when I want to apply to another university around the world?
@parthapratimroy8282	I'm thinking about taking online animation course which platform do you recommend?
@ScarrednCharred	 @RichardWalls  thumbs up for liking your own reply
@fizaijaz5254	I have a dumb question I am doing BDS currently in 3rd year But I have interest in Psychology..If I do online courses from coursera or any other sources can I become psychologist lol I mean Counsell people online bcz obv can’t be a clinical psychologist..
@rafiayousaf5430	Sir can you tell me from these courses how i will get a job mean i have done many courses but i dont know ho to use these courses for sell or earn a money from this. Can you help me how can i get a job from these courses Thanks.
@stephens9450	Hey Richard, I’m looking to start this program soon. Would I need to buy a Windows computer or could I use my Mac?
@Moodboard39	Duh, what does it matter ? Lol as long you not running windows 95 \n\nCommon sense bro
@Dennis-gn1nq	Hi sir, for Coursera can I pay through PayPal balance rather than using credit card? Thanks in advance.
@naima5220	Yer, also had problem with payment method
@murphybrowns-tv8zk	please can someone help me i want to learn and be earning
@HealthHacks94	i cant see the date they make the course how i can see it?
@EL_RAMBOx	Do you need a diploma or ged to participate in this certification for Google IT?
@official6arz	Can you do this with no GED and it be respected as atleast a GED replacement?
@Moodboard39	Lol dude , you need high school diploma or GED lol to work. Lol replacement? Is not a replacement.
@brandonlamontcooper8141	thank you
@Jakilyn	Can anyone confirm the cost? I am seeing $39 monthly. Do courses vary in cost in addition to the monthly $39 subscription fee?
@xjyoyo	Richard Walls - Career Dev & Finance It’s such unbelievable price comparing those profit making courses provided by some professional bodies.
@chrishardy3473	Do these courses have a good return on investment for a complete noob.
@writtenbynona	thank you !
@claudettedelphis6476	Have been on Coursera since its beginning \nHave taken so many fabulous classes and now on my latest one: Women Spirituality in the Middle Ages ️\nCoursera is my intellectual and spiritual nourishment \nThank you to their extraordinary Team ️
@jermainemyrn19	Is it free to learn coding?
@jermainemyrn19	 @RichardWalls  freecodecamp is good?
@TFJ360	Thank you'
@MadinaGbotoe	Hello, how do you demonstrate these on your resume?
